"All-You-Care-To-Eat @ Hulen/Clement; 33.579155, -101.879688"
"Chef's Corner", "33.579641, -101.874057"
"Einstein Bros Bagels", "33.579641, -101.874057"
"Grillz", "33.579641, -101.874057"
"Greens & Things", "33.579641, -101.874057"
"Just Say Cheez","33.579641, -101.874057"
"Khan's Mongolian Grill","33.579641, -101.874057"
"Kluck'rs", "33.579641, -101.874057"
"Parillas", "33.579641, -101.874057"
"Pi Pizza & Pasta", "33.579641, -101.874057"
"The Fresh Plate", "33.585944, -101.871722"
"The Carvery", "33.583796, -101.880393"
"Chopstix", "33.583796, -101.880393"
"Daybreak Coffee Roasters & More", "33.583796, -101.880393"
"Fazoli's", "33.583796, -101.880393"
"Flav'r", "33.583796, -101.880393"
"Ramen", "33.583796, -101.880393"
"Red & Black Grill", "33.583796, -101.880393"
"Spuds & Toppings", "33.583796, -101.880393"
"Subs & Wraps", "33.583796, -101.880393"
"Tacos y Mas", "33.583796, -101.880393"
"The Corner Market", "33.583796, -101.880393"
"Toss'd Salads | Made-to-Order", "33.583796, -101.880393"
"Wings", "33.583796, -101.880393"
"Yo2Go", "33.583796, -101.880393"
"On-The-Go @ Horn/Knapp", "33.580547, -101.872758"
"Quiznos", "33.580320, -101.878508"
"Chick-fil-A Express @ Rawls", "33.587843, -101.879231"
"Einstein Bros Bagels @ Rawls", "33.587843, -101.879231"
"Sam's Express @ Livermore", "3.587667, -101.876091"
"Sam's Express @ Health Sciences Center", "33.589107, -101.891977"
"Sam's Express @ Holden Hall", "33.585699, -101.873603"
"Sam's Express @ Human Sciences", "33.583337, -101.873346"
"Sam's Express @ Law School", "33.578800, -101.886819"
"Sam's Express @ Library", "33.581496, -101.875790"
"Sam's Express @ Media & Communications", "33.581954, -101.880355"
"Sam's Express @ Petroleum", "33.587754, -101.873866"
"Sam's Place @ Murray", "33.586634, -101.878756"
"Sam's Place @ Sneed", "33.585424, -101.871431"
"Sam's Place @ Student Union Building", "33.581661, -101.874579"
"Sam's Place @ Wall | Gates", "3.579104, -101.876957"

"Domino's Pizza", "3.593453, -101.871765"
"Chick-fil-A", "33.593432, -101.870948"
"Popeyes Louisiana Kitchen", "33.594418, -101.870841"
"KFC", "33.594975, -101.869934"
"Wienerschnitzel", "33.594007, -101.870096"
"Panda Express", "33.593510, -101.869998"
"Chili's Grill & Bar", "33.589340, -101.870400"
"Starbucks", "33.587991, -101.870305"
"Spanky's", "33.587690, -101.870348"
"Chipotle Mexican Grill", "33.588077, -101.869398"
"Whataburger", "33.587552, -101.869432"
"Heff's Burgers Texas Tech", "33.588027, -101.868683"
"Potbelly Sandwich Shop", "33.587524, -101.868616"
"Raising Cane's Chicken Fingers", "33.586772, -101.870102"
"Torchy's Tacos", "33.586755, -101.868884"
"One Guys Pizza", "33.585309, -101.870331"
"Subway", "33.585106, -101.870336
"Local Bar and Grill", "33.584805, -101.870148"
"Cricket's Draft House + Grill", "33.584780, -101.869693"
"Chimy's", "33.584241, -101.869778"
"Jimmy John's", "33.584283, -101.869416"
"Fuzzy's Taco Shop", "33.584841, -101.862133"
"Skooners Grill & Bar", "33.579205, -101.870298"
"IHOP", "33.578531, -101.870316"
"Lubbock Breakfast House And Grill", "3.578218, -101.869860"
"McAlister's Deli", "33.577427, -101.868687"
"Wendy's", "33.577485, -101.867781"
"Skyview's", "33.577423, -101.870221"
